state,year,frate,beertax,mlda,jaild,comserd,vmiles,unrate,pop
CT,1988,1.4970601,.21721849,21,1,1,8061.2354,3,3233003.3
DE,1982,2.03333,.17303102,20,0,0,7651.6538,8.5,600001
DE,1983,1.8151799,.1662844,20,0,0,8062.6997,8.1000004,606000.5
DE,1984,2.11726,.15934065,21,0,0,8368.0625,6.1999998,614001.13
DE,1985,1.6720301,.15360169,21,0,0,8625.4248,5.3000002,621998.38
DE,1986,2.1485,.1496388,21,0,0,9045.8174,4.3000002,632999.75
DE,1987,2.2670801,.145,21,0,0,9450.3076,3.2,644000.19
DE,1988,2.4242399,.13955726,21,0,0,9703.0205,3.2,660000.69
FL,1982,2.53197,1.0739857,19,0,1,7587.1299,8.1999998,10478007
FL,1983,2.4976799,1.1704128,19,0,1,7604.2544,8.6000004,10753980
FL,1984,2.5466099,1.1868132,19,0,1,7735.3047,6.3000002,11049985
FL,1985,2.4916401,1.1440679,20,0,1,7747.311,6,11366008
FL,1986,2.4200399,1.1145512,21,0,1,7768.7559,5.6999998,11694022
FL,1987,2.36131,1.08,21,0,1,7788.3306,5.3000002,12022987
FL,1988,2.4953401,1.039461,21,0,1,8538.2305,5,12334992
GA,1982,2.17484,2.7207637,19,0,0,8623.4443,7.8000002,5650990.5
GA,1983,2.2606001,2.6146789,19,0,0,8518.5898,7.5,5732991
GA,1984,2.4135599,2.5054944,19,0,0,8641.9141,6,5841993
GA,1985,2.2774401,2.4152541,19,0,0,8988.1074,6.5,5976008
GA,1986,2.5082002,2.352941,20,0,0,9344.7676,5.9000001,6099991.5
GA,1987,2.56991,2.28,21,0,0,9690.2813,5.5,6222007.5
GA,1988,2.6064298,2.1944177,21,0,0,9817.3955,5.8000002,6342008
ID,1982,2.6175902,.40274465,19,0,0,8033.752,9.8000002,977998.81
ID,1983,2.6619399,.3870413,19,0,0,8387.6416,9.8000002,988001.25
ID,1984,2.42242,.37087911,19,0,0,7775.7681,7.1999998,999001
ID,1985,2.5373101,.35752121,19,0,0,7671.6318,7.9000001,1005001.3
ID,1986,2.5748498,.34829721,19,0,0,7899.2007,8.6999998,1002000.1
ID,1987,2.6252499,.33750001,20,0,0,8135.2686,8,998000.25
ID,1988,2.56231,.32483158,21,0,0,8102.6821,5.8000002,1003001.2
IL,1982,1.4384,.18854415,21,0,0,5696.5347,11.3,11478031
IL,1983,1.3280001,.18119267,21,0,0,5862.8682,11.4,11490963
IL,1984,1.3426501,.17362638,21,0,0,6067.5283,9.1000004,11521990
IL,1985,1.32987,.16737288,21,0,0,6141.6763,9,11534962
IL,1986,1.3817,.1630547,21,0,0,6345.7773,8.1000004,11550988
IL,1987,1.4332601,.15800001,21,0,0,6540.8462,7.4000001,11581988
IL,1988,1.58171,.1520693,21,0,0,6757.6128,6.8000002,11614013
IN,1982,1.75269,.30913246,21,0,0,7149.9175,11.9,5483000.5
IN,1983,1.8560499,.29707912,21,0,0,7277.5063,11.1,5473990.5
IN,1984,1.6842699,.28467363,21,0,0,7478.8872,8.6000004,5491993.5
IN,1985,1.77123,.27442053,21,0,0,7416.2529,7.9000001,5499003.5
IN,1986,1.88624,.26734054,21,0,0,7714.3223,6.6999998,5503011
IN,1987,1.9074299,.25905299,21,0,0,7977.2158,6.4000001,5531002.5
IN,1988,1.98164,.24932915,21,0,0,9201.5762,5.3000002,5556004.5
IA,1982,1.6511899,.37589499,19,0,0,6653.2632,8.5,2906994.5
IA,1983,1.7699699,.36123854,19,0,0,6770.3076,8.1000004,2904004
IA,1984,1.44678,.34615386,19,0,0,7060.6304,7,2902998.5
IA,1985,1.64355,.33368644,19,0,0,7001.0376,8,2884001
IA,1986,1.5473701,.38312694,20,0,0,7192.9902,7,2849997
IA,1987,1.7325301,.42750001,21,0,0,7342.2573,5.5,2834005.8
IA,1988,1.9654199,.48492688,21,0,0,7730.0635,4.5,2834000
KS,1982,2.06811,.48400956,21,1,1,7333.0693,6.3000002,2407995.8
KS,1983,1.69345,.46513763,21,1,1,7479.6108,6.0999999,2426998
KS,1984,2.0901599,.44571429,21,1,1,7670.8877,5.1999998,2440004.5
KS,1985,1.9836699,.42966104,21,1,1,7867.3335,5,2450004.3
KS,1986,2.03335,.41857585,21,1,1,8100.0532,5.4000001,2458996.3
KS,1987,1.98304,.40560001,21,1,1,8304.1309,4.9000001,2475996.5
KS,1988,1.9358699,.39037538,21,1,1,8481.3555,4.8000002,2495002.3
KY,1982,2.22523,.21599045,21,0,0,6937.4658,10.6,3694000.3
KY,1983,2.09478,.20756879,21,0,0,7194.1426,11.7,3713993.8
KY,1984,2.02688,.19890109,21,0,0,7513.7031,9.3000002,3720003.3
KY,1985,1.9109,.19173728,21,0,0,7654.3354,9.5,3725993
KY,1986,2.16049,.1867905,21,0,0,7859.6206,9.3000002,3726006.8
KY,1987,2.26456,.18099999,21,0,0,8135.2441,8.8000002,3726993.3
KY,1988,2.2484598,.17420596,21,0,0,8482.4355,7.9000001,3726995.5
LA,1982,2.4891601,.86634845,18,1,1,6137.7988,10.3,4383004.5
LA,1983,2.1008799,.83256882,18,1,1,6208.7417,11.8,4440996.5
LA,1984,2.1542301,.79780221,18,1,1,7080.9385,10,4460990.5
LA,1985,2.0776601,.76906782,18,1,1,7445.8784,11.5,4481002.5
LA,1986,2.0715702,.74922603,18,1,1,7108.686,13.1,4499003
LA,1987,1.8538399,.72600001,20,1,1,6859.2075,12,4461011
LA,1988,2.09846,.69874883,21,1,1,7867.9771,10.9,4407994.5
ME,1982,1.46127,.8054893,20,1,0,6733.2856,8.6000004,1135998.1
ME,1983,1.9563299,.7740826,20,1,0,6920.5171,9,1145001.1
ME,1984,2.0069199,.74175823,20,1,0,8083.9082,6.0999999,1156000.3
ME,1985,1.76976,.71504241,20,1,0,7969.9341,5.4000001,1163999.6
ME,1986,1.82594,.749807,21,1,0,8550.3477,5.3000002,1171999.1
ME,1987,1.95451,.78750002,21,1,0,9069.9365,4.4000001,1186998.4
ME,1988,2.1161799,.75794035,21,1,0,9461.3994,3.8,1205001.5
MD,1982,1.4977801,.24105012,21,0,0,6768.0938,8.3999996,4272990.5
MD,1983,1.5252301,.23165138,21,0,0,7118.8252,6.9000001,4300990.5
MD,1984,1.4785,.22197802,21,0,0,7289.4883,5.4000001,4349002
MD,1985,1.6598401,.21398306,21,0,0,7590.4097,4.5999999,4391989.5
MD,1986,1.75745,.20846234,21,0,0,7826.7046,4.5,4461009
MD,1987,1.79493,.20200001,21,0,0,8046.9751,4.1999998,4534996
MD,1988,1.69191,.19441772,21,0,0,8112.9458,4.5,4621995.5
MA,1982,1.14669,.28639618,20,0,0,6380.0508,7.9000001,5746976
MA,1983,1.12903,.27522936,20,0,0,6510.7397,6.9000001,5766011.5
MA,1984,1.14867,.26373625,20,0,0,6646.5908,4.8000002,5798010
MA,1985,1.27448,.25423729,20,0,0,6818.2964,3.9000001,5821982
MA,1986,1.289,.24767801,21,0,0,7027.9644,3.8,5833979.5
MA,1987,1.17677,.23999999,21,0,0,7225.436,3.2,5855010
MA,1988,1.2311101,.23099133,21,0,0,7358.4727,3.3,5888994
MI,1982,1.5268199,.54565394,21,0,0,6712.7432,15.5,9116988
MI,1983,1.45129,.52437842,21,0,0,6721.3281,14.2,9054014
MI,1984,1.69022,.50248128,21,0,0,7007.0708,11.2,9057993
MI,1985,1.70004,.48438346,21,0,0,7416.5762,9.8999996,9088021
MI,1986,1.75621,.47188646,21,0,0,7829.5234,8.8000002,9138998
MI,1987,1.73587,.45725799,21,0,0,8228.915,8.1999998,9199998
MI,1988,1.84416,.44009432,21,0,0,8430.6465,7.5999999,9239979
MN,1982,1.38156,.34606203,19,0,0,7059.2637,7.8000002,4133009
MN,1983,1.3389599,.33256879,19,0,0,7494.0747,8.1999998,4145008
MN,1984,1.39803,.3186813,19,0,0,7644.9663,6.3000002,4163000.8
MN,1985,1.45004,.30720338,19,0,0,7795.873,6,4192987.8
MN,1986,1.35533,.2992776,19,0,0,8053.1763,5.3000002,4212996
MN,1987,1.24823,.31625,21,0,0,8282.3594,5.4000001,4246012.5
MN,1988,1.4209399,.32098171,21,0,0,8462.2549,4,4307008
MS,1982,2.8437901,1.1459428,21,0,0,6679.4009,11,2566996.8
MS,1983,2.7681,1.1012615,21,0,0,6891.9883,12.6,2582999.3
MS,1984,2.6135499,1.0552747,21,0,0,7098.54,10.8,2597999
MS,1985,2.5334899,1.0766314,21,0,0,7321.0967,10.3,2612996.5
MS,1986,2.9382598,1.065387,21,0,0,7489.3237,11.7,2624002
MS,1987,2.8800001,.96030003,21,0,0,7684.9521,10.2,2625000
MS,1988,2.7557299,.92425412,21,0,0,8413.373,8.3999996,2619995.5
MO,1982,1.80089,.34661219,21,0,0,7082.7588,9.1999998,4942001
MO,1983,1.83558,.33309749,21,0,0,7363.0737,9.8999996,4963009
MO,1984,1.9336101,.31918791,21,0,0,7705.4458,7.1999998,5001008.5
MO,1985,1.8512601,.30769175,21,0,0,7811.4824,6.4000001,5029007
MO,1986,2.22946,.29975337,21,0,0,8161.917,6.0999999,5064006.5
MO,1987,2.0458601,.290461,21,0,0,8500.7051,6.3000002,5102988.5
MO,1988,2.1454999,.27955824,21,0,0,8864.0469,5.6999998,5140992.5
MT,1982,3.1552801,.34644747,19,1,0,8284.4736,8.6000004,804999.81
MT,1983,3.5049,.33293921,19,1,0,8800.2402,8.8000002,816000.44
MT,1984,2.89186,.31903625,19,1,0,8974.4863,7.4000001,822999.75
MT,1985,2.6997602,.31907839,19,1,0,9167.0781,7.6999998,825999.31
MT,1986,2.7172599,.32208154,19,1,0,9575.2813,8.1000004,816999.5
MT,1987,2.8924601,.3238,20,1,0,9980.2236,7.4000001,808999.94
MT,1988,2.45963,.32291049,21,1,0,10109.327,6.8000002,804999.19
NE,1982,1.64151,.37589499,20,0,0,7191.8267,6.0999999,1589999.4
NE,1983,1.5977401,.36123854,20,0,0,7226.7979,5.6999998,1596004.3
NE,1984,1.7757,.34615386,20,0,0,26148.271,4.4000001,1605000.9
NE,1985,1.47572,.36943856,21,0,0,7505.6245,5.5,1605995.6
NE,1986,1.81477,.46439627,21,0,0,7867.9663,5,1597998.8
NE,1987,1.86324,.46687499,21,0,0,8212.6855,4.9000001,1593997.5
NE,1988,1.62921,.49807507,21,0,0,8368.8965,3.5999999,1602003.4
NV,1982,3.18907,.16109785,21,0,0,7304.1089,10.1,877998.94
NV,1983,2.8205101,.19997133,21,1,1,7661.085,9.8000002,897000.88
NV,1984,2.7153802,.22252747,21,1,1,7995.6494,7.8000002,916998.69
NV,1985,2.7670901,.21451271,21,1,1,8083.3218,8,936001.31
NV,1986,2.4095101,.20897833,21,1,1,8253.3477,6,967001.56
NV,1987,2.60179,.2025,21,1,1,8337.6445,6.3000002,1006999.1
NV,1988,2.71347,.19489895,21,1,1,8528.4551,5.1999998,1054001
NH,1982,1.82489,.48329356,20,0,0,7353.3574,7.4000001,948002.31
NH,1983,1.99166,.56766057,20,0,0,7488.0156,5.4000001,958999.06
NH,1984,1.96319,.74175823,20,0,0,7458.0771,4.3000002,978000.06
NH,1985,1.91383,.71504241,20,0,0,7553.1157,3.9000001,997998.75
NH,1986,1.67478,.69659442,20,0,0,8133.3945,2.8,1027000.5
NH,1987,1.69347,.67500001,21,0,0,8672.6475,2.5,1057001.4
NH,1988,1.5299499,.64966315,21,0,0,8762.1885,2.4000001,1085002.9
NJ,1982,1.4279901,.08949881,19,0,0,6971.9834,9,7430023.5
NJ,1983,1.24799,.086009175,21,0,0,6992.0918,7.8000002,7468008.5
NJ,1984,1.22655,.082417585,21,0,0,6959.1411,6.1999998,7517019.5
NJ,1985,1.2748001,.079449154,21,0,0,7023.0371,5.6999998,7561970.5
NJ,1986,1.36262,.077399381,21,0,0,7224.9019,5,7625017
NJ,1987,1.3334199,.075000003,21,0,0,7438.8672,4,7672001.5
NJ,1988,1.36122,.072184794,21,0,0,7598.8721,3.8,7721014.5
NM,1982,4.2178402,.24164678,21,0,0,8662.2891,9.1999998,1367998.8
NM,1983,3.7874501,.34833717,21,0,0,8329.5371,10.1,1401998.8
NM,1984,3.48527,.44505495,21,0,0,8718.084,7.5,1426001.4
NM,1985,3.6896598,.42902541,21,0,0,9151.0459,8.8000002,1449998.1
NM,1986,3.3738999,.41795665,21,0,0,9596.3447,9.1999998,1479000.6
NM,1987,3.78667,.405,21,0,0,10077.343,8.8999996,1499998.6
NM,1988,3.23159,.3897979,21,0,0,10141.354,7.8000002,1506998
NY,1982,1.22932,.11933175,19,0,0,4576.3457,8.6000004,17586958
NY,1983,1.17444,.1328555,19,0,0,4737.5112,8.6000004,17685024
NY,1984,1.16082,.13599999,19,0,0,4917.5942,7.1999998,17746076
NY,1985,1.1280401,.1311017,19,0,0,5090.1255,6.5,17783058
NY,1986,1.19247,.1277193,21,0,0,5296.9946,6.3000002,17794996
NY,1987,1.30884,.12376,21,0,0,5498.0259,4.9000001,17824944
NY,1988,1.25914,.11911453,21,0,0,5789.9219,4.1999998,17909050
NC,1982,2.16589,1.431981,21,0,0,7164.2256,9,6016002.5
NC,1983,2.0306101,1.3761468,21,0,0,7411.2329,8.8999996,6076991.5
NC,1984,2.3516099,1.3186814,21,0,0,7814.1567,6.6999998,6165988.5
NC,1985,2.3693001,1.2711865,21,0,0,7981.2798,5.4000001,6255012
NC,1986,2.60148,1.2383901,21,0,0,8254.9209,5.3000002,6331011.5
NC,1987,2.46998,1.2,21,0,0,8513.9463,4.5,6413007
NC,1988,2.4240999,1.1549567,21,0,0,8929.4102,3.5999999,6489006.5
ND,1982,2.2023799,.42959428,21,0,0,7815.4727,5.9000001,672000.31
ND,1983,1.70338,.41284406,21,0,0,7875.1958,5.5999999,680998.94
ND,1984,1.4556,.3956044,21,0,0,7826.7612,5.0999999,687001.94
ND,1985,1.3138701,.38135594,21,0,0,7864.2422,5.9000001,684999.25
ND,1986,1.4727501,.37151703,21,0,0,8150.1982,6.3000002,679001.88
ND,1987,1.50298,.36000001,21,0,0,8453.8906,5.1999998,671998.31
ND,1988,1.55922,.34648702,21,0,0,8643.1758,4.8000002,667000.19
OH,1982,1.4915501,.42959428,21,0,0,6659.627,12.5,10774027
OH,1983,1.4732699,.41284406,21,1,0,6818.2036,12.2,10738019
OH,1984,1.5325899,.3956044,21,1,0,6973.4707,9.3999996,10739989
OH,1985,1.53202,.38135594,21,1,0,7031.7485,8.8999996,10743985
OH,1986,1.5565701,.37151703,21,1,0,7196.9736,8.1000004,10747990
OH,1987,1.64318,.36000001,21,0,0,7340.248,7,10783968
OH,1988,1.62414,.34648702,21,0,0,7553.2178,6,10854976
OK,1982,3.26215,.86634845,21,0,0,9288.4609,5.6999998,3230998
OK,1983,2.5611601,.83256882,21,0,0,8929.3281,9,3310999.5
OK,1984,2.40785,.94739008,21,0,0,9359.7988,7,3310007
OK,1985,2.25386,.96133476,21,0,0,9445.915,7.0999999,3301003.5
OK,1986,2.1143401,.93653256,21,0,0,9496.0781,8.1999998,3305996.3
OK,1987,1.8245701,.90750003,21,0,0,9659.5244,7.4000001,3272003.8
OK,1988,1.95558,.87343603,21,0,0,9990.1143,6.6999998,3242005
OR,1982,1.9408,.22519094,21,0,0,7262.6382,11.5,2669002.5
OR,1983,2.0676701,.21641056,21,0,0,7728.1982,10.8,2659999
OR,1984,2.1375201,.20737363,21,1,1,7826.2383,9.3999996,2675998.3
OR,1985,2.08039,.19990467,21,1,1,7985.8691,8.8000002,2686996.3
OR,1986,2.2909,.19474716,21,1,1,8288.3213,8.5,2701994.8
OR,1987,2.2760599,.18871,21,1,1,8565.3281,6.1999998,2724005.5
OR,1988,2.4466901,.18162657,21,1,1,9108.7705,5.8000002,2767003.5
PA,1982,1.5312699,.28639618,21,0,0,6003.2686,10.9,11879029
PA,1983,1.4473101,.27522936,21,0,0,6080.3843,11.8,11891025
PA,1984,1.45285,.26373625,21,0,0,6250.2832,9.1000004,11886981
PA,1985,1.49414,.25423729,21,0,0,6363.6362,8,11852972
PA,1986,1.5924,.24767801,21,0,0,6476.124,6.8000002,11893997
PA,1987,1.66471,.23999999,21,0,0,6587.292,5.6999998,11936013
PA,1988,1.60903,.23099133,21,0,0,6769.2583,5.0999999,12001019
RI,1982,1.10063,.17422435,20,0,0,6192.8784,10.2,953999.06
RI,1983,1.04603,.16743119,20,0,0,6290.8247,8.3000002,955995.5
RI,1984,.82120997,.16043955,20,0,0,5509.3833,5.3000002,961995.13
RI,1985,1.12603,.15466101,21,0,0,6015.479,4.9000001,968002.69
RI,1986,1.2717899,.1506708,21,0,0,6064.5923,4,975003.75
RI,1987,1.14604,.146,21,0,0,6088.2109,3.8,986003.94
RI,1988,1.2588099,.14051972,21,0,0,5894.2515,3.0999999,993001.38
SC,1982,2.2628601,2.0620525,21,0,0,7508.3555,10.8,3226006
SC,1983,2.5905499,1.9816514,21,1,1,7666.3701,10,3257995.5
SC,1984,2.7740798,1.8989011,21,1,1,7865.2432,7.0999999,3301995.8
SC,1985,2.8413498,1.8305085,21,1,1,7970.4194,6.8000002,3347000.8
SC,1986,3.13221,1.7832818,21,1,1,8414.9678,6.1999998,3380999.3
SC,1987,3.1708,1.728,21,1,1,8824.5176,5.5999999,3425003
SC,1988,2.97983,1.6631377,21,1,1,9152.459,4.5,3469996.5
SD,1982,2.13256,.71837711,21,0,0,9165.6855,5.5,694001.56
SD,1983,2.5035799,.69036698,21,0,0,9037.208,5.4000001,698999.06
SD,1984,2.0283701,.66153848,21,0,0,9079.4385,4.3000002,704999.56
SD,1985,1.8361599,.63771188,21,0,0,8865.8281,5.0999999,707999.31
SD,1986,1.8926599,.62125903,21,0,0,8817.8174,4.6999998,707998.31
SD,1987,1.88999,.60925299,21,0,0,8757.4229,4.1999998,708998.5
SD,1988,2.0617099,.59336478,21,0,0,9304.3428,3.9000001,713000.38
TN,1982,2.2615199,.33809426,19,1,0,7458.3003,11.8,4665004
TN,1983,2.21156,.32491168,19,1,0,7733.2095,11.5,4688997.5
TN,1984,2.3169701,.31134394,19,1,0,7728.1001,8.6000004,4726000
TN,1985,2.3120501,.30013028,21,1,0,7614.0156,8,4762007.5
TN,1986,2.5625,.29238698,21,1,0,8165,8,4800000
TN,1987,2.5705502,.28332299,21,1,0,8676.8428,6.5999999,4854992
TN,1988,2.5863099,.27268815,21,1,0,9028.1826,5.8000002,4895005
TX,1982,2.7403402,.43317422,19,0,0,8144.7876,6.9000001,15374004
TX,1983,2.41717,.41628441,19,0,0,8338.5723,8,15816016
TX,1984,2.43238,.41884616,19,0,0,8564.1289,5.9000001,16083013
TX,1985,2.2467899,.46144068,19,0,0,8751.5459,7,16370022
TX,1986,2.1373401,.44953561,19,0,0,8821.6963,8.8999996,16688968
TX,1987,1.94234,.43560001,21,0,0,9005.0479,8.3999996,16789028
TX,1988,2.01473,.4192493,21,0,0,9290.3223,7.3000002,16840966
UT,1982,1.8934499,.3568401,21,0,0,7012.1831,7.8000002,1558002.6
UT,1983,1.77429,.62925458,21,1,1,7035.0908,9.1999998,1595004.3
UT,1984,1.94085,.87734836,21,1,1,7184.8418,6.5,1623000.3
UT,1985,1.8419499,.8457489,21,1,1,7317.3442,5.9000001,1644995.8
UT,1986,1.8810099,.82392877,21,1,1,7426.6836,6,1663999.8
UT,1987,1.7619001,.79838699,21,1,1,7547.0034,6.4000001,1680004.5
UT,1988,1.7574,.76841867,21,1,1,7847.9448,4.9000001,1689996.6
VT,1982,2.0576899,.71151549,18,0,0,7678.8374,6.9000001,520000.59
VT,1983,1.79048,.68377292,18,0,0,7906.6836,6.9000001,524998.88
VT,1984,2.1509399,.65521979,18,0,0,8307.5342,5.1999998,530000.81
VT,1985,2.1495299,.63162076,18,0,0,8762.6055,4.8000002,535000.69
VT,1986,2.0147898,.61532509,19,0,0,8990.7695,4.6999998,540999.31
VT,1987,2.17153,.59625,21,0,0,9195.2441,3.5999999,548000.69
VT,1988,2.31598,.57386911,21,0,0,9969.4863,2.8,556999.63
VA,1982,1.6050299,.75894988,21,0,0,7547.8311,7.6999998,5488994
VA,1983,1.6208,.72935778,21,0,0,7609.1255,6.0999999,5558983
VA,1984,1.7973701,.69890106,21,0,0,7900.4438,5,5636012.5
VA,1985,1.71048,.67372876,21,0,0,8399.5791,5.5999999,5706000.5
VA,1986,1.94305,.65634674,21,0,0,8866.417,5,5795013
VA,1987,1.72934,.63599998,21,0,0,9287.623,4.1999998,5903986.5
VA,1988,1.7805499,.61212701,21,0,0,9551.6279,3.9000001,6014995.5
WA,1982,1.74848,.23175895,21,1,0,7306.6826,12.1,4278001.5
WA,1983,1.6213701,.23155849,21,1,0,8395.8164,11.2,4305001
WA,1984,1.71534,.22188902,21,1,0,7874.9282,9.5,4348992
WA,1985,1.6874601,.21389724,21,1,0,7796.564,8.1000004,4408993.5
WA,1986,1.57517,.20837875,21,1,0,8166.6846,8.1999998,4463010.5
WA,1987,1.71882,.201919,21,1,0,8488.3262,7.5999999,4537997
WA,1988,1.67384,.19433975,21,1,0,8995.9219,6.1999998,4647995
WV,1982,2.29475,.47636396,18,1,0,5574.7129,13.9,1960997.9
WV,1983,2.16505,.45779014,18,1,0,5958.2173,18,1963003.3
WV,1984,2.2450001,.43867362,19,1,0,6494.6108,15,1951002.1
WV,1985,2.16942,.42287391,19,1,0,6541.3179,13,1936001.3
WV,1986,2.2952499,.41196388,19,1,0,6887.3149,11.8,1917002.5
WV,1987,2.4828699,.39919299,21,1,0,7244.0762,10.8,1896998.3
WV,1988,2.4520299,.38420886,21,1,0,7400.8662,9.8999996,1875996.6
WI,1982,1.62242,.17303102,18,0,0,6909.8232,10.7,4745997
WI,1983,1.52728,.1662844,18,0,0,7184.7461,10.4,4747001.5
WI,1984,1.7261701,.15934065,18,0,0,7426.9409,7.3000002,4761987.5
WI,1985,1.55812,.15360169,19,0,0,7681.4893,7.1999998,4774985.5
WI,1986,1.56178,.1496388,19,0,0,8036.3721,7,4783004
WI,1987,1.658,.145,21,0,0,8361.9785,6.0999999,4806996.5
WI,1988,1.6622,.13955726,21,0,0,8745.1904,4.3000002,4855011.5
WY,1982,3.94118,.053699285,19,1,0,10354.911,5.8000002,509999.56
WY,1983,3.35271,.051605508,19,1,0,9804.2549,8.3999996,516000.47
WY,1984,3.0604298,.04945055,19,1,0,9994.1553,6.3000002,512999.81
WY,1985,2.9862499,.047669493,19,1,0,10611.011,7.0999999,508999.56
WY,1986,3.3136098,.046439629,19,1,0,10619.331,9,506999.94
WY,1987,2.6326501,.045000002,19,1,0,10953.05,8.6000004,490000.53
WY,1988,3.2359099,.043310877,19,1,0,11812.115,6.3000002,478999.72
